0: 8 11
1: 5 24 | 92 70
2: 5 5 | 92 44
3: 1 5 | 97 92
4: 92 5 | 5 5
5: "a"
6: 78 5 | 88 92
7: 5 36 | 92 106
8: 42 | 42 8
9: 16 92 | 50 5
10: 5 70 | 92 48
11: 42 31 | 42 11 31
12: 92 117 | 5 21
13: 92 88 | 5 117
14: 55 5 | 4 92
15: 92 51 | 5 105
16: 117 5 | 111 92
17: 65 5 | 77 92
18: 125 5 | 58 92
19: 64 5 | 1 92
20: 92 103 | 5 21
21: 5 92 | 5 5
22: 103 92 | 88 5
23: 44 70
24: 5 5
25: 92 111 | 5 4
26: 5 34 | 92 61
27: 92 12 | 5 109
28: 92 30 | 5 109
29: 94 5 | 65 92
30: 92 24 | 5 117
31: 92 114 | 5 87
32: 40 5 | 13 92
33: 5 92
34: 92 9 | 5 134
35: 104 5 | 10 92
36: 92 71 | 5 43
37: 88 92 | 68 5
38: 27 5 | 17 92
39: 5 4 | 92 21
40: 24 5 | 24 92
41: 5 70 | 92 4
42: 7 92 | 86 5
43: 120 92 | 122 5
44: 5 | 92
45: 108 5 | 119 92
46: 98 92 | 19 5
47: 78 5 | 4 92
48: 92 92 | 92 5
49: 33 5 | 21 92
50: 53 92 | 48 5
51: 5 111 | 92 117
52: 92 15 | 5 101
53: 92 5
54: 5 4 | 92 78
55: 92 92 | 5 92
56: 74 92 | 62 5
57: 33 5 | 70 92
58: 28 92 | 133 5
59: 5 88 | 92 24
60: 5 21 | 92 4
61: 92 32 | 5 102
62: 128 5 | 60 92
63: 92 91 | 5 64
64: 92 70
65: 53 5 | 48 92
66: 5 24
67: 4 92
68: 5 5 | 44 92
69: 2 5 | 111 92
70: 44 44
71: 29 5 | 96 92
72: 92 55 | 5 24
73: 24 92
74: 92 20 | 5 82
75: 63 92 | 112 5
76: 92 70 | 5 53
77: 21 92 | 78 5
78: 92 92 | 5 5
79: 92 75 | 5 38
80: 5 39 | 92 6
81: 21 5 | 68 92
82: 5 53 | 92 68
83: 5 48 | 92 111
84: 92 100 | 5 57
85: 92 55 | 5 33
86: 5 115 | 92 18
87: 130 5 | 126 92
88: 44 92 | 92 5
89: 5 54 | 92 47
90: 92 70 | 5 117
91: 117 5 | 117 92
92: "b"
93: 92 89 | 5 107
94: 21 5 | 111 92
95: 37 92 | 105 5
96: 92 73 | 5 1
97: 92 78 | 5 2
98: 5 40 | 92 72
99: 67 92 | 23 5
100: 53 92 | 2 5
101: 92 83 | 5 127
102: 59 5 | 131 92
103: 5 44 | 92 5
104: 5 117
105: 5 53 | 92 55
106: 110 5 | 56 92
107: 124 92 | 90 5
108: 59 5 | 81 92
109: 5 21 | 92 78
110: 121 92 | 35 5
111: 92 5 | 5 92
112: 41 5 | 132 92
113: 118 92 | 84 5
114: 79 92 | 26 5
115: 46 5 | 93 92
116: 92 70 | 5 2
117: 92 92
118: 92 116 | 5 49
119: 25 5 | 85 92
120: 5 129 | 92 47
121: 92 90 | 5 14
122: 5 66 | 92 22
123: 5 3 | 92 99
124: 92 55 | 5 4
125: 95 92 | 80 5
126: 5 45 | 92 113
127: 117 5 | 55 92
128: 92 2 | 5 68
129: 5 111 | 92 88
130: 92 52 | 5 123
131: 103 92 | 111 5
132: 21 5 | 24 92
133: 5 100 | 92 69
134: 129 5 | 76 92
